0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,gender
-374.44147,94.27679,-28.991158,33.489395,17.0618,-16.834105,2.0791466,-7.3288274,-7.9195065,-3.4834921,-8.146982,-0.40859807,-7.204285,-8.502695,8.044883,0.03405374,-15.347271,-10.725521,-4.066898,-6.351122,0
-389.16803,113.75053,-13.423322,25.265438,-5.5272536,0.16443871,-7.9004507,-19.354877,-6.024926,-6.4764233,-8.364829,-4.979373,-9.885011,-6.945972,-5.6660957,-6.1948347,-0.24678394,-5.4874444,-6.508048,-5.095598,0
-329.71878,135.04973,-30.36502,22.217861,4.861444,-8.432667,-6.258649,-4.6090784,-20.196335,-4.3067913,-1.3500893,-2.949969,-2.6478705,-7.3660355,3.888538,-6.643269,-6.2704606,1.3601453,-3.2067456,1.2538545,1
-303.53485,123.41271,-34.63676,32.53125,7.352557,-7.9092727,-1.4769558,-5.065029,-16.748182,-4.9050426,-6.111783,-2.4847794,-5.9828105,-6.468422,-3.076662,-5.921741,-2.1323295,1.1003908,-0.16706814,-2.0045936,1
-289.87778,138.89243,-34.08943,30.174324,7.730842,-11.842532,-3.2182794,-11.828373,-16.812737,-5.8664145,-12.119398,-1.1858195,-6.5401034,-6.9790754,2.1112475,-5.951658,-1.0290312,3.277357,-2.8842986,0.9466451,1
-324.62396,141.64449,-35.341183,36.113228,5.7500253,-2.2623124,-16.19954,-5.5403748,-16.879059,-9.939133,-9.282037,-5.9631,-4.7468634,-9.367431,0.47442114,-5.2782464,-3.7755818,4.7502217,-2.9306357,5.7333117,1
-306.64563,145.00275,-48.526367,37.54988,-1.3694048,-9.62269,-6.8980546,-5.042673,-21.825907,-8.360494,-6.868446,-6.2018733,-0.61058843,-12.589735,1.6095415,-5.0916443,-6.147118,5.450758,-3.434746,3.954666,1
-330.2685,124.63495,-31.705177,31.3254,1.6958534,-3.584765,-6.1658974,-6.601811,-15.754495,-9.09248,-4.4702215,-2.1184747,-0.4380469,-10.505401,3.559442,-4.454835,-3.268041,5.08783,-5.4458456,5.526103,1
-317.05386,131.76349,-30.716341,36.566093,-3.861682,-3.8369133,-3.7907367,-4.2336526,-19.70037,-9.775072,-3.8220074,-2.0479054,-4.626436,-10.842408,-2.541829,-6.21562,-1.8326011,2.4277644,-3.7276912,4.6327624,1
-299.2734,117.529465,-33.62336,47.162857,8.185505,-3.578119,-22.959885,-9.090712,0.22803244,-15.012691,-1.9063395,-2.1455233,-1.2713882,-3.3645992,-0.8386903,-0.76089406,-5.608837,10.018236,0.5003126,4.701097,1
